"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","481","shouldReturn400_whenUsingForeignEpt","Functional Suite","Sun Oct 19 20:59:06 UTC 2025","passed","Sun Oct 19 20:59:07 UTC 2025","tests.functional.timelog.CreateTimeLogFuncTest","Functional Tests","tests.functional.timelog.CreateTimeLogFuncTest","shouldReturn400_whenUsingForeignEpt"
"","991","shouldReturn400_whenDeletingPastWeekTimeLog","Functional Suite","Sun Oct 19 20:59:08 UTC 2025","passed","Sun Oct 19 20:59:09 UTC 2025","tests.functional.timelog.DeleteTimeLogFuncTest","Functional Tests","tests.functional.timelog.DeleteTimeLogFuncTest","shouldReturn400_whenDeletingPastWeekTimeLog"
"","1056","shouldReturn400_whenProfileDataIsInvalid","Functional Suite","Sun Oct 19 20:59:12 UTC 2025","passed","Sun Oct 19 20:59:13 UTC 2025","tests.functional.employee.UpdateEmployeeFuncTest","Functional Tests","tests.functional.employee.UpdateEmployeeFuncTest","shouldReturn400_whenProfileDataIsInvalid"
"","1054","shouldReturn400_whenProfileDataIsInvalid","Functional Suite","Sun Oct 19 20:59:13 UTC 2025","passed","Sun Oct 19 20:59:14 UTC 2025","tests.functional.employee.UpdateEmployeeFuncTest","Functional Tests","tests.functional.employee.UpdateEmployeeFuncTest","shouldReturn400_whenProfileDataIsInvalid"
"","345","shouldReturn404_whenEmployeeDoesNotExist","Functional Suite","Sun Oct 19 20:59:18 UTC 2025","passed","Sun Oct 19 20:59:19 UTC 2025","tests.functional.employee.GetEmployeeFuncTest","Functional Tests","tests.functional.employee.GetEmployeeFuncTest","shouldReturn404_whenEmployeeDoesNotExist"
"","1136","shouldUpdateEmployee_whenProfileDataIsValid","Functional Suite","Sun Oct 19 20:59:17 UTC 2025","passed","Sun Oct 19 20:59:18 UTC 2025","tests.functional.employee.UpdateEmployeeFuncTest","Functional Tests","tests.functional.employee.UpdateEmployeeFuncTest","shouldUpdateEmployee_whenProfileDataIsValid"
"","1086","shouldReturn400_whenProfileDataIsInvalid","Functional Suite","Sun Oct 19 20:59:15 UTC 2025","passed","Sun Oct 19 20:59:16 UTC 2025","tests.functional.employee.UpdateEmployeeFuncTest","Functional Tests","tests.functional.employee.UpdateEmployeeFuncTest","shouldReturn400_whenProfileDataIsInvalid"
"","1387","shouldDeleteTimeLog_whenCurrentWeek","Functional Suite","Sun Oct 19 20:59:07 UTC 2025","passed","Sun Oct 19 20:59:08 UTC 2025","tests.functional.timelog.DeleteTimeLogFuncTest","Functional Tests","tests.functional.timelog.DeleteTimeLogFuncTest","shouldDeleteTimeLog_whenCurrentWeek"
"","360","shouldReturn404_whenDeletingNonExistentTimeLog","Functional Suite","Sun Oct 19 20:59:09 UTC 2025","passed","Sun Oct 19 20:59:09 UTC 2025","tests.functional.timelog.DeleteTimeLogFuncTest","Functional Tests","tests.functional.timelog.DeleteTimeLogFuncTest","shouldReturn404_whenDeletingNonExistentTimeLog"
"","271","shouldReturn400_whenPastWeekIsBeyondGracePeriod","Functional Suite","Sun Oct 19 20:59:06 UTC 2025","passed","Sun Oct 19 20:59:06 UTC 2025","tests.functional.timelog.CreateTimeLogFuncTest","Functional Tests","tests.functional.timelog.CreateTimeLogFuncTest","shouldReturn400_whenPastWeekIsBeyondGracePeriod"
"","1076","shouldReturn400_whenProfileDataIsInvalid","Functional Suite","Sun Oct 19 20:59:10 UTC 2025","passed","Sun Oct 19 20:59:11 UTC 2025","tests.functional.employee.UpdateEmployeeFuncTest","Functional Tests","tests.functional.employee.UpdateEmployeeFuncTest","shouldReturn400_whenProfileDataIsInvalid"
"","432","shouldReturnEmployee_whenEmployeeExists","Functional Suite","Sun Oct 19 20:59:19 UTC 2025","passed","Sun Oct 19 20:59:19 UTC 2025","tests.functional.employee.GetEmployeeFuncTest","Functional Tests","tests.functional.employee.GetEmployeeFuncTest","shouldReturnEmployee_whenEmployeeExists"
"","3269","shouldCreateTimeLog_whenDataIsValid","Functional Suite","Sun Oct 19 20:59:02 UTC 2025","passed","Sun Oct 19 20:59:06 UTC 2025","tests.functional.timelog.CreateTimeLogFuncTest","Functional Tests","tests.functional.timelog.CreateTimeLogFuncTest","shouldCreateTimeLog_whenDataIsValid"
